Ticker,Name,Location,Exchange,Currency,Asset Class
600905,CHINA THREE GORGES RENEWABLES(GROU,China,Shanghai Stock Exchange,USD,Equity
FIBRAPL14,PROLOGIS PROPERTY MEXICO REIT,Mexico,Bolsa Mexicana De Valores,USD,Equity
LODHA,LODHA DEVELOPERS LTD,India,National Stock Exchange Of India,USD,Equity
6446,PHARMAESSENTIA,Taiwan,Taiwan Stock Exchange,USD,Equity
3898,ZHUZHOU CRRC TIMES ELECTRIC LTD H,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
3750,CONTEMPORARY AMPEREX TECHNOLOGY CL,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
COLPAL,COLGATE PALMOLIVE INDIA LTD,India,National Stock Exchange Of India,USD,Equity
3692,HANSOH PHARMACEUTICAL GROUP,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
605117,NINGBO DEYE TECHNOLOGY CORP A,China,Shanghai Stock Exchange,USD,Equity
688187,ZHUZHOU CRRC TIMES ELECTRIC LTD A,China,Shanghai Stock Exchange,USD,Equity
688578,SHANGHAI ALLIST PHARMACEUTICALS LT,China,Shanghai Stock Exchange,USD,Equity
