ticker,name_source,location,exchange_source,currency,asset_class,exchange_code,figi,composite_figi,share_class_figi,security_name,security_type,security_type_2,market_sector,security_description,match_count,status
373220,LG ENERGY SOLUTION LTD,Korea (South),Korea Exchange (Stock Market),USD,Equity,KS,BBG00ZN6CKP8,BBG00ZN6CKP8,BBG00ZN6CKS5,LG ENERGY SOLUTION,Common Stock,Common Stock,Equity,373220,1,MATCH
688472,CSI SOLAR LTD A,China,Shanghai Stock Exchange,USD,Equity,CH,BBG00CRG0YF7,BBG00CRG0YF7,BBG00CRG0YG6,CSI SOLAR CO LTD-A,Common Stock,Common Stock,Equity,688472,1,MATCH
DXCM,DEXCOM INC,United States,NASDAQ,USD,Equity,US,BBG000QTF8K1,BBG000QTF8K1,BBG001SKZG99,DEXCOM INC,Common Stock,Common Stock,Equity,DXCM,1,MATCH
9901,NEW ORIENTAL EDUCATION &amp; TECHNOLOG,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG00Y0937D2,BBG000BWSVL4,BBG001SJC9C9,NEW ORIENTAL EDUCATION & TEC,Common Stock,Common Stock,Equity,9901,1,MATCH
TAL,TAL EDUCATION GROUP ADR REPTG,China,NYSE,USD,Equity,US,BBG0016XJ8S0,BBG0016XJ8S0,BBG001TCN2J9,TAL EDUCATION GROUP- ADR,ADR,Depositary Receipt,Equity,TAL,1,MATCH
ARGX,ARGENX,Belgium,Nyse Euronext - Euronext Brussels,USD,Equity,BB,BBG006MF2DW2,BBG001J2PBK8,BBG001V0GFM7,ARGENX SE,Common Stock,Common Stock,Equity,ARGX,1,MATCH
UU.,UNITED UTILITIES GROUP PLC,United Kingdom,London Stock Exchange,USD,Equity,LN,,,,,,,,,0,NO_MATCH
002129,TCL ZHONGHUAN RENEWABLE ENERGY TEC,China,Shenzhen Stock Exchange,USD,Equity,SZ,,,,,,,,,0,NO_MATCH
ALNY,ALNYLAM PHARMACEUTICALS,United States,NASDAQ,USD,Equity,US,BBG000BFGNJ5,BBG000BFGNJ5,BBG001S7FTC8,ALNYLAM PHARMACEUTICALS INC,Common Stock,Common Stock,Equity,ALNY,1,MATCH
8113,UNICHARM,Japan,Tokyo Stock Exchange,USD,Equity,JP,BBG000BDJH37,BBG000BDJH37,BBG001S6G0W0,UNICHARM CORP,Common Stock,Common Stock,Equity,8113,1,MATCH
66,MTR CORPORATION,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG000MKLJD1,BBG000MKLHP2,BBG001SD50Y5,MTR CORP,Common Stock,Common Stock,Equity,66,1,MATCH
INCY,INCYTE CORP,United States,NASDAQ,USD,Equity,US,BBG000BNPSQ9,BBG000BNPSQ9,BBG001S8Q6N2,INCYTE CORP,Common Stock,Common Stock,Equity,INCY,1,MATCH
